state,district,latitude,longitude,soil_type,ph,nitrogen,phosphorus,potassium,organic_carbon,electrical_conductivity,moisture_content,temperature,Cropping_Season,Crop,Months,Rainfall,Humidity,Solar_Radiation,Wind_Speed,Soil_Fertility_Index,Water_Holding_Capacity,Micronutrients_Zinc,Micronutrients_Iron,Micronutrients_Boron,Historical_Yield,Pest_Disease_Incidence,Irrigation_Type,Market_Price,Fertilizer_Usage,Crop_Variety,NDVI
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Rice,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,3440.5,1.6,Drip,24.95,89.3,IR64,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Rice,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,2182.6,1.5,Flood,24.95,126.7,Basmati 1121,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Rice,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,2263.0,1.1,Flood,24.95,44.9,Swarna,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Rice,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,2557.2,2.3,Sprinkler,24.95,297.3,MTU1010,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Maize,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,3265.3,4.1,Sprinkler,18.61,71.5,HQPM1,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Maize,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,3077.6,7.3,Sprinkler,18.61,156.0,DHM117,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Maize,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,5457.2,2.5,Drip,18.61,96.9,Suwan-1,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Cotton,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,1539.3,5.2,Sprinkler,60.35,79.6,Bunny Bt,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Cotton,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,4041.0,9.8,Flood,60.35,259.3,RCH 134,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Cotton,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,4592.5,8.9,Drip,60.35,283.8,LRA 5166,0.306
